epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,3716.99,0.97164,0.93812,1.13083,0.51641,0.604,0.57723,0.42092,1.229,1.74366,1.27868,3.74383e-06,3.74383e-06,3.74383e-06
119,3748.39,0.91654,0.84802,1.09451,0.53693,0.59666,0.57778,0.42471,1.21411,1.75608,1.26657,3.66899e-06,3.66899e-06,3.66899e-06
120,3779.72,0.94817,0.8845,1.10668,0.57968,0.58223,0.58814,0.4363,1.21818,1.7664,1.2787,3.5945e-06,3.5945e-06,3.5945e-06
121,3811.21,0.95712,0.88321,1.11555,0.59212,0.54282,0.58849,0.43101,1.22953,1.75776,1.28068,3.52037e-06,3.52037e-06,3.52037e-06
122,3842.91,0.94352,0.8731,1.10327,0.58821,0.56253,0.58754,0.42663,1.24985,1.76118,1.29609,3.44661e-06,3.44661e-06,3.44661e-06
123,3874.68,0.94752,0.88301,1.11834,0.55236,0.5734,0.5817,0.42623,1.24153,1.80493,1.28862,3.37325e-06,3.37325e-06,3.37325e-06
124,3906.12,0.94363,0.85992,1.11918,0.5678,0.55794,0.57876,0.41929,1.25502,1.783,1.28689,3.3003e-06,3.3003e-06,3.3003e-06
125,3937.53,0.9421,0.87608,1.12133,0.58932,0.56004,0.57822,0.41886,1.27281,1.78962,1.29561,3.22778e-06,3.22778e-06,3.22778e-06
126,3969.05,0.94526,0.87384,1.11017,0.67015,0.47714,0.57666,0.4288,1.23088,1.78111,1.28841,3.15572e-06,3.15572e-06,3.15572e-06
127,4000.46,0.97007,0.93506,1.10367,0.61857,0.50899,0.57179,0.42128,1.23143,1.77668,1.28959,3.08412e-06,3.08412e-06,3.08412e-06
128,4031.99,0.9118,0.84584,1.08774,0.63724,0.50554,0.57544,0.4194,1.25494,1.82549,1.298,3.013e-06,3.013e-06,3.013e-06
129,4063.22,0.91227,0.87298,1.09205,0.70696,0.46925,0.57861,0.42711,1.23008,1.83194,1.28595,2.94239e-06,2.94239e-06,2.94239e-06
130,4094.55,0.95147,0.8428,1.09958,0.69284,0.4775,0.58292,0.43281,1.2172,1.80408,1.26451,2.8723e-06,2.8723e-06,2.8723e-06
131,4126.77,0.93282,0.8923,1.11798,0.66662,0.49858,0.58022,0.43188,1.21908,1.8042,1.26684,2.80275e-06,2.80275e-06,2.80275e-06
132,4157.75,0.92258,0.83761,1.10188,0.64537,0.49408,0.57704,0.42555,1.24784,1.78857,1.28008,2.73375e-06,2.73375e-06,2.73375e-06
133,4189.03,0.96756,0.91243,1.11019,0.69993,0.47233,0.58005,0.42583,1.25642,1.79301,1.29159,2.66532e-06,2.66532e-06,2.66532e-06
134,4220.59,0.94406,0.86535,1.10349,0.66456,0.49042,0.57765,0.42504,1.23524,1.81876,1.28614,2.59748e-06,2.59748e-06,2.59748e-06
135,4252.23,0.91006,0.84759,1.08897,0.51944,0.59616,0.57846,0.42667,1.23401,1.84218,1.28162,2.53024e-06,2.53024e-06,2.53024e-06
136,4283.31,0.92513,0.83247,1.09682,0.65842,0.49368,0.57907,0.434,1.21549,1.8496,1.25895,2.46363e-06,2.46363e-06,2.46363e-06
137,4314.71,0.90973,0.84856,1.08212,0.5584,0.56575,0.57866,0.43095,1.21063,1.80299,1.2659,2.39766e-06,2.39766e-06,2.39766e-06
138,4346.42,0.92509,0.83087,1.09466,0.54847,0.5756,0.58157,0.42902,1.24863,1.80759,1.29001,2.33234e-06,2.33234e-06,2.33234e-06
139,4378.25,0.927,0.86683,1.10038,0.59813,0.52097,0.57664,0.42621,1.23178,1.77751,1.29136,2.26769e-06,2.26769e-06,2.26769e-06
140,4409.11,0.9465,0.85782,1.10116,0.61252,0.50808,0.57428,0.42352,1.22921,1.78779,1.28104,2.20372e-06,2.20372e-06,2.20372e-06
141,4440.26,0.97071,0.8884,1.14287,0.66081,0.47392,0.57738,0.4252,1.22939,1.78398,1.2775,2.14046e-06,2.14046e-06,2.14046e-06
142,4471.18,0.9258,0.86548,1.08553,0.69195,0.46282,0.58276,0.43009,1.22977,1.74884,1.27926,2.07792e-06,2.07792e-06,2.07792e-06
143,4502.45,0.94188,0.86434,1.10375,0.68447,0.481,0.58511,0.43304,1.22881,1.73821,1.278,2.01611e-06,2.01611e-06,2.01611e-06
144,4534.13,0.91191,0.83674,1.10611,0.68452,0.47719,0.58014,0.4246,1.23177,1.78759,1.26973,1.95505e-06,1.95505e-06,1.95505e-06
145,4565.4,0.92241,0.86256,1.09166,0.67322,0.49799,0.58334,0.42827,1.22411,1.77436,1.26623,1.89475e-06,1.89475e-06,1.89475e-06
146,4596.92,0.92211,0.84249,1.09191,0.68192,0.49772,0.58338,0.42775,1.23376,1.75871,1.27984,1.83523e-06,1.83523e-06,1.83523e-06
147,4627.95,0.9038,0.82126,1.07728,0.57229,0.56096,0.58413,0.43066,1.22351,1.75847,1.2747,1.77651e-06,1.77651e-06,1.77651e-06
148,4659.28,0.92174,0.83028,1.09389,0.55326,0.57308,0.58055,0.42709,1.22181,1.7649,1.27828,1.71859e-06,1.71859e-06,1.71859e-06
149,4690.38,0.91407,0.83564,1.09791,0.73423,0.45868,0.57758,0.42732,1.22691,1.7885,1.28266,1.66149e-06,1.66149e-06,1.66149e-06
150,4721.93,0.94331,0.89548,1.09367,0.53651,0.59968,0.57991,0.42766,1.23868,1.79088,1.2892,1.60523e-06,1.60523e-06,1.60523e-06
